"type","system","term_ja","term_en","aliases","description_ja","description_en","url","source"
"feature","ECCS","バックアップと復元","Backup and restore","","Linux 開発環境をGoogleドライブ・OneDrive・ローカルに保存し，他デバイスで復元できる機能．","A feature to back up the Linux development environment to Google Drive, OneDrive, or locally and restore it on other devices.","/eccs/chromeos/linux/","src/pages/eccs/chromeos/linux/index.mdx"
"feature","ECCS","ファイル転送機能","File Transfer","","Windowsリモート環境から接続元のデバイスへファイルをダウンロードする機能．クラウドストレージに保存したくないファイルの持ち出しに利用する．","A function to download files from the Remote Windows Environment to the local device you are connecting from.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"feature","ECCS","フォルダの共有","","","ChromeOSとLinux 開発環境の間で相互にフォルダを共有し，データをやりとりする機能．Google DriveやOneDriveのフォルダも共有できる．","","/eccs/chromeos/linux/","src/pages/eccs/chromeos/linux/index.mdx"
"feature","Gather","mapmaker","mapmaker","","Gatherで独自のスペースを作成できる機能．理想のオフィスや自分の職場に似た空間を作れる．","A Gather feature for creating your own space, letting you build an ideal office or one resembling your workplace.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"feature","general","ごみ箱","Trash","","削除したファイルが一時的に入る場所です．ごみ箱内のファイルも保存容量の計算に含まれます．","Where deleted files are temporarily kept; files in the Trash are also counted toward storage usage.","/systems/storage_limit/","src/pages/systems/storage_limit.md"
"feature","general","ホワイトボード","Whiteboard","","会議中に共同で書き込めるツール．GatherやRemoなどが備える．","A tool for collaborative writing during meetings, offered by tools such as Gather and Remo.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"feature","general","画面共有","Screen sharing","","自分のパソコン画面を通話相手や参加者と共有する機能．Zoomなど多くの会議ツールが備える．","A feature for sharing one's computer screen with call partners or participants, offered by many conferencing tools such as Zoom.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"feature","Google","Cursive","Cursive","手書きメモ","ChromeOSにプリインストールされた手書きメモアプリ．","A handwriting note app preinstalled on ChromeOS.","/eccs/chromeos/apps/","src/pages/eccs/chromeos/apps/index.mdx"
"feature","Google","Google Chromeの翻訳機能","Google Chrome translation feature","ウェブ コンテンツの Google 翻訳ポップアップ","Google Chromeが追加した表示言語のページを翻訳する機能．翻訳ポップアップボックスが表示される．","Google Chrome's feature that translates pages in added display languages, shown via a translation popup box.","/eccs/chromeos/languages/","src/pages/eccs/chromeos/languages/index.mdx"
"feature","Google","Googleアカウントでサインイン","Sign in with Google account","","ECCSクラウドメールのGoogleアカウントを使って外部サービスにサインインする連携機能です．アカウント失効後は使用できなくなります．","An integration feature that lets you sign in to external services using your ECCS Cloud Email Google account; it becomes unavailable after account revocation.","/google/","src/pages/systems/leave/backup.mdx"
"feature","Google","Play Store","Play Store","Play ストア;Google Playストア","許可されたAndroidアプリをインストールできるストアアプリ．ChromeOSデバイスにプリインストールされている．","The store app for installing permitted Android apps, preinstalled on ChromeOS devices.","/eccs/chromeos/apps/","src/pages/eccs/chromeos/apps/index.mdx"
"feature","Google","Q&A","","","Google Meetの会議中に利用できる質問受付機能で，Google Workspace for Education Plusライセンスが付与されている場合に利用可能になる会議ツールの一つです．","","/google/misc/education-plus/","src/pages/google/misc/education-plus/index.md"
"feature","Google","Screencast","Screencast","スクリーンキャスト","ChromeOSにプリインストールされた，画面の録画などができるアプリ．","An app preinstalled on ChromeOS for recording the screen and more.","/eccs/chromeos/apps/","src/pages/eccs/chromeos/apps/index.mdx"
"feature","Google","Vids","Vids","","AIを利用した動画編集等ができるGoogleのアプリ．ChromeOSにプリインストールされている．","A Google app for AI-assisted video editing and more, preinstalled on ChromeOS.","/eccs/chromeos/apps/","src/pages/eccs/chromeos/apps/index.mdx"
"feature","Google","アンケート","","投票","Google Meetの会議中に参加者へアンケート（投票）を実施できる機能で，Education Plusライセンスが付与されている場合に利用可能になる会議ツールの一つです．","","/google/misc/education-plus/","src/pages/google/misc/education-plus/index.md"
"feature","Google","おすすめの時間","Suggested times","","予定作成時にGoogleカレンダーが参加者のスケジュールを確認して最適な時間を提案する機能．","A feature where Google Calendar checks participants' schedules and suggests the best meeting time.","/google/calendar/collab/#invite-guests-other-functions","src/pages/google/calendar/collab/index.mdx"
"feature","Google","オフラインで使用可能にする","Make available offline","","ネットワークに接続されていない状態でもファイルを開けるようにする操作．事前にファイルごとに行っておく必要がある．","An operation that makes a file openable without a network connection; must be done per file in advance.","/google/drive/app_and_offline/#offline","src/pages/google/drive/app_and_offline.md"
"feature","Google","コンテンツの移行","Transfer your content","","Googleアカウントの機能で，メールやドライブのデータを別のGoogleアカウントにコピーできる．ECCSクラウドメール失効後は行えない．","A Google account feature for copying Mail and Drive data to another Google account; it cannot be done after the ECCS Cloud Email account is lost.","/google/misc/backup/transfer/","src/pages/google/misc/backup/transfer/index.md"
"feature","Google","サイレントモード","","","設定した時間にGoogleカレンダーからの通知を受け取らないようにし，作業に集中できる予定の種類．ECCSクラウドメールで利用できる．","An event type that suppresses Google Calendar notifications during a set time to help you focus; available with ECCS Cloud Email.","/google/calendar/#set-focus-time","src/pages/google/calendar/index.mdx"
"feature","Google","セクション","section","","Googleフォームで質問をまとめる単位．別々のページに表示したり，回答に応じて表示する質問を切り替えたりできる．","A unit grouping questions in Google Forms; can be shown on separate pages or used to branch questions based on answers.","/google/forms/#useful_features_for_form_editing","src/pages/google/forms/index.md"
"feature","Google","タスク","task","ToDoリスト","やるべきことをGoogleカレンダーに登録する機能．時間調整やリマインダーとして利用できる．","A feature to register to-do items in Google Calendar, usable for time coordination and reminders.","/google/calendar/#create-task","src/pages/google/calendar/index.mdx"
"feature","Google","ブレイクアウトルーム","breakout rooms","","Google Meetの会議ツールの一つ．参加者を小グループに分けられる機能で，Education Plusライセンスがあると利用できる．","A Google Meet activity for splitting participants into small groups, available with an Education Plus license.","/google/misc/education-plus/","src/pages/google/misc/education-plus/index.md"
"feature","Google","マイドライブ","My Drive","","Googleドライブのうち，個人が持ち主となる領域です．原則として保存容量の計算に算入されます．","The area of Google Drive owned by an individual; in principle it is counted toward storage usage.","/google/","src/pages/systems/storage_limit.md"
"feature","Google","メールの転送設定","email forwarding","","ECCSクラウドメール宛のメールを別のアドレスに転送する設定です．アカウント失効から約180日後に自動的に無効となります．","A setting that forwards email sent to ECCS Cloud Email to another address; it is automatically disabled about 180 days after account revocation.","/google/misc/automatic-forwarding/","src/pages/systems/leave/backup.mdx"
"feature","Google","ライブストリーミング","live streaming","","Google Meetの機能の一つ．Education Plusライセンスで利用可能になるが，学生と教職員のライセンスで使用可否が異なる．","A Google Meet feature enabled by an Education Plus license; availability differs between student and faculty/staff licenses.","/google/misc/education-plus/","src/pages/google/misc/education-plus/index.md"
"feature","Google","ライブ配信","","","YouTubeで映像をリアルタイムに配信する機能．ECCSクラウドメールアカウントで有効化して利用でき，有効化には約24時間かかる．","","/google/youtube/live/","src/pages/google/youtube/live/index.mdx"
"feature","Google","画面の共有","Screen Sharing","画面を共有","会議中に自分の画面全体または特定のウィンドウを参加者に共有する機能．資料や講義資料の表示に使う．","A feature to share your entire screen or a specific window with participants during a meeting, used to display materials.","/google/meet/#do_meeting","src/pages/google/meet/index.md"
"feature","Google","会議ツール","","","Google Meetの画面右下のアイコンから開く機能群．Q&A・アンケート・ブレイクアウトルームなどが含まれ，ライセンスの有無を確認する目安になる．","","/google/misc/education-plus/","src/pages/google/misc/education-plus/index.md"
"feature","Google","回答の自動保存","autosave of responses","","Googleアカウントにログインした状態で，入力途中のフォーム回答が下書きとして30日間自動で保存される機能．","A feature that automatically saves in-progress Google Form responses as drafts for 30 days when signed in.","/google/forms/#form_settings","src/pages/google/forms/index.md"
"feature","Google","共同トレイ","Collaborative inbox","","会話にラベルを付けたり，メンバーに会話を割り当てたりできるGoogleグループの機能．ヘルプデスク等での活用が考えられる．ECCSクラウドメール利用者向けのGoogleグループでのみ利用できる．","A Google Groups feature that lets you label conversations and assign them to members, useful for help desks; available only for Google Groups for ECCS Cloud Email users.","/google/group/","src/pages/google/group/index.mdx"
"feature","Google","共同編集者を追加","Add collaborators","","「送信」横の︙から表示される機能．フォームの問題作成や回答結果の確認ができる人（編集者）を追加する．回答用ではなく編集用のリンクが得られる点に注意．","A function shown from the '︙' next to Send that adds users who can create questions or view results; its link is for editing, not answering.","/articles/google-form/","src/pages/articles/google-form/index.md"
"feature","Google","共有ドライブ","Shared Drive","","Googleドライブのうち，複数人のグループが共同で持ち主となる領域です．メンバーの出入りがあっても継続的にファイルを共有できます．","A Google Drive feature for jointly managing files as a team or organization, where multiple members share ownership rather than a single person.","/google/drive/shared_drive/","src/pages/google/drive/shared_drive.md;src/pages/systems/storage_limit.md"
"feature","Google","共有トレイ","","共同トレイ","Google グループの機能．会話にラベル付けをしたり，メンバーに会話を割り当てたりできる．使用にはオーナーまたはマネージャーによる有効化が必要．","","/articles/google-groups/","src/pages/articles/google-groups/index.md"
"feature","Google","勤務場所","","","ある時間帯の所在（自宅・オフィスなど）を登録し，カレンダーを共有している人に知らせる機能．ECCSクラウドメールで利用できる．","A feature to register your location (home, office, etc.) for a time period and share it with people you share your calendar with; available with ECCS Cloud Email.","/google/calendar/#set-working-location","src/pages/google/calendar/index.mdx"
"feature","Google","自動採点","automatic scoring","","Googleフォームで事前に模範解答（解答集）を入力しておくことで，選択式や短い記述式の設問を自動で採点できる機能．段落問題には使用できない．","A Google Forms function that automatically grades multiple-choice and short-answer questions by entering model answers in advance; not available for paragraph questions.","/articles/google-form/","src/pages/articles/google-form/index.md"
"feature","Google","通話","call","","Google Meetにおける，電話番号等の連絡先を用いた機能．「会議」とは区別される．","A Google Meet feature using contact information such as phone numbers, distinguished from a ""meeting"".","/google/meet/","src/pages/google/meet/index.md"
"feature","Google","独自性レポート","originality report","","Google Assignmentsで提出物の独自性をチェックする機能．契約上，1つのクラスにつき5回までの制限がある．","A Google Assignments feature that checks the originality of submissions; limited by contract to five uses per class.","/google/assignments/","src/pages/google/assignments.md"
"feature","Google","不在","","","不在となる時間をあらかじめ設定し，共有相手に知らせたり，その時間の会議招待を自動で辞退したりできる予定の種類．ECCSクラウドメールで利用できる．","An event type to set unavailable time in advance, notifying shared users and automatically declining meeting invitations during that time; available with ECCS Cloud Email.","/google/calendar/#set-out-of-office","src/pages/google/calendar/index.mdx"
"feature","Google","予約スケジュール","","","自分の空き時間を不特定多数に知らせ，他の人が予約枠にエントリーして会議を設定できるようにする機能．","A feature to advertise your free time so that others can enter appointment slots and set up meetings.","/google/calendar/#set-appointment-slots","src/pages/google/calendar/index.mdx"
"feature","Google","録画","Recording","レコーディング","会議中の画像と音声を録画する機能．録画ファイルはGoogle Driveに保存される．","A feature to record the video and audio of a meeting; the recording file is saved to Google Drive.","/google/meet/#do_meeting","src/pages/google/meet/index.md"
"feature","MATLAB","MATLAB Toolbox","MATLAB Toolbox","","東京大学の包括ライセンスで利用できる関連オプション製品群．包括ライセンスページの「利用可能な製品の一覧」に記載されている．","Related optional products available under UTokyo's comprehensive license, listed in the 'List of Available Products'.","/matlab/","src/pages/matlab/index.md"
"feature","Microsoft","BitLocker","BitLocker","","Windowsのドライブの暗号化機能です．回復キーがUTokyo Accountのデバイス情報に保存されていることがあります．","Windows' drive encryption feature; its recovery key may be stored in the device information of a UTokyo Account.","/systems/leave/entrajoined/","src/pages/systems/leave/entrajoined/index.mdx"
"feature","Microsoft","Teamsチームフォルダ","Microsoft Teams Folders","Teamsチームドライブ","Microsoft Teamsで，グループが共同で持ち主となってファイルを共有できる機能です．組織あたり100GBまで利用できます．","A feature in Microsoft Teams where a group can jointly own and share files; up to 100 GB per organization.","https://univtokyo.sharepoint.com/sites/utokyoportal/wiki/d/Share_Teams_files.aspx","src/pages/systems/storage_limit.md"
"feature","Microsoft","チーム","Team","「チーム」機能","事務組織の階層構造に基づくものに加え，任意のメンバーで構成できるTeamsのチーム．利用には申請が必要．","Teams teams that can be composed of any members, in addition to those based on the administrative organization hierarchy; application required.","/microsoft/#team_function","src/pages/microsoft/index.md"
"feature","Microsoft","バージョン履歴","version history","バージョン管理","OneDriveで有効になっている，ファイルの過去のバージョンを保存する機能です．過去のバージョンも保存容量に含まれます．","A feature enabled on OneDrive that stores previous versions of files; past versions are also counted toward storage usage.","/microsoft/onedrive/","src/pages/systems/storage_limit.md"
"feature","Microsoft","ファイル転送機能","File Transfer","","Windowsリモート環境から接続元のデバイスへファイルをダウンロードできる機能．","A feature to download files from the Remote Windows Environment to the connecting local device.","/eccs/vdi-windows/","src/pages/eccs/vdi-windows/index.mdx"
"feature","Microsoft","議事録","transcription","","会議の記録機能．表示名を変更しても議事録など一部の機能では変更前のデフォルトの表示名のままになることがある．","A meeting record feature; even after changing a display name, some features such as transcriptions may keep the original default display name.","/articles/teams-display-name/","src/pages/articles/teams-display-name/index.mdx"
"feature","OneNote","マーカー機能","marker function","","指さしの代わりに強調表示するために用いる蛍光ペン等のマーカー機能（グッドプラクティスで紹介）．","A marker (highlighter) function used to emphasize content in place of pointing, introduced in a good-practice example.","/articles/onenote-whiteboard/","src/pages/articles/onenote-whiteboard/index.mdx"
"feature","Remo","レコーディング","meeting recording","","会議を録画する機能．Remoなど多くの会議ツールが備える．","A feature for recording a meeting, offered by many conferencing tools such as Remo.","/articles/online-interaction/","src/pages/articles/online-interaction/index.md"
"feature","research_computing","自動停止機能","Automatic Suspension","サブスクリプションの自動停止機能","UTokyo Azure 独自の機能で，無料保証枠の約90%を使い切った時点でサブスクリプションを自動停止（取り消し）する．初期設定は有効で，停止されると復旧できない．","A UTokyo Azure-specific feature that automatically cancels the subscription when about 90% of the Guaranteed Free Tier is used; enabled by default and non-recoverable once triggered.","/research_computing/utokyo_azure/faq/subscription/","src/pages/research_computing/utokyo_azure/faq/subscription.mdx"
"feature","Slack","Incoming Webhook","Incoming Webhook","","CosenseからSlackへ更新通知を送るために作成するSlack Integrationの仕組み．発行されたURLをCosenseのNotificationsに貼り付けて連携する．","A Slack Integration mechanism created to send update notifications from Cosense to Slack; the issued URL is pasted into Cosense's Notifications.","/articles/cosense/","src/pages/articles/cosense/index.md"
"feature","Slack","Slackbot","Slackbot","","Slackの自動応答ボット．既にUTokyo Slackを利用中の場合，ワークスペースへの招待はSlackbotからのダイレクトメッセージで届く．","Slack's automated bot; for existing UTokyo Slack users, workspace invitations arrive as a direct message from the Slackbot.","/slack/invited/","src/pages/slack/invited.mdx"
"feature","Slack","Slack連携機能","Slack integration","","UTOL上のコースのメンバーを対象とする専用UTokyo Slackワークスペースを運用する機能．毎時の同期処理で参加者が自動招待される．","A function operating a dedicated UTokyo Slack workspace for a UTOL course's members; participants are auto-invited via an hourly sync.","/utol/students/integrations/slack/","src/pages/utol/students/integrations/slack/index.md"
"feature","Slack","カスタムプロフィールフィールド","custom profile fields","","プロフィールに独自の項目を追加できる機能．UTokyo Slackではオーガナイゼーション単位でしか設定できず，各ワークスペースでは利用できない．","A feature for adding custom fields to profiles; in UTokyo Slack it can only be set per organization and cannot be used per workspace.","/slack/details/#profile","src/pages/slack/details.mdx"
"feature","Slack","カスタム絵文字","custom emoji","","ワークスペースに独自の絵文字を追加できる機能．UTokyo Slackでは仕様上，UTokyo Slack全体にしか追加できない．","A feature for adding original emoji; in UTokyo Slack they can only be added to the entire UTokyo Slack, not to specific workspaces.","/slack/details/#emoji","src/pages/slack/details.mdx"
"feature","Slack","ゲスト","Guest","ゲスト機能","特定のワークスペースやチャンネルにゲストとして参加させる有償機能．UTokyo Slackでは無効化されており利用できない．","A paid feature allowing people to join a workspace or channel as guests; disabled and unavailable in UTokyo Slack.","/slack/details/#guest","src/pages/slack/details.mdx"
"feature","Slack","コネクト","Connect","Slack コネクト;Slack Connect","複数のワークスペースを連携し，ワークスペース間で共有されたチャンネルを作成できる機能．学外者と一緒にUTokyo Slackを利用する手段の一つ．","A feature that links multiple workspaces and creates channels shared across them; one way to use UTokyo Slack together with people outside the university.","/slack/workspace/connect/","src/pages/slack/workspace/connect.mdx"
"feature","Slack","シングルチャンネルゲスト","Single-Channel Guest","","単一チャンネルのみに参加できるゲストの一種．料金の請求対象ではないが，UTokyo Slackでは単独で有効化できないため利用できない．","A type of guest able to join only a single channel; not fee-charging but cannot be enabled on its own in UTokyo Slack, so unavailable.","/slack/details/#guest","src/pages/slack/details.mdx"
"feature","Slack","スレッド","thread","","各質問に返信することで質問と回答の階層構造を明確化する機能．","A feature for replying to each question, clarifying the hierarchical structure between questions and answers.","/articles/slack-communication/","src/pages/articles/question-tools/index.md"
"feature","Slack","ダイレクトメッセージ","direct message","DM","特定のメンバーと1対1などで直接やり取りするメッセージ機能．コネクト利用時はワークスペースを越えて送信できる．","A feature for sending messages directly to specific members; with Connect, they can be sent across workspaces.","/slack/workspace/connect/","src/pages/slack/workspace/connect.mdx"
"feature","Slack","チャンネル","Channel","","ワークスペース内で話題ごとにやり取りを行う単位．通常は一つのワークスペース内に存在するが，コネクトやマルチワークスペースチャンネルで複数のワークスペースに共有できる．","A space within a workspace for topic-based communication; normally within a single workspace but can be shared across workspaces via Connect or multi-workspace channels.","/slack/workspace/","src/pages/slack/workspace/index.mdx;src/pages/online/tools.md;src/pages/systems/index.md"
"feature","Slack","ハドルミーティング","Huddle meetings","ハドル","複数人で行える音声・映像による会話機能．Enterprise Gridプランで利用できる追加機能の一つ．","A multi-person audio/video conversation feature available as an additional function under the Enterprise Grid plan.","/slack/","src/pages/slack/index.mdx"
"feature","Slack","プロフィール","Profile","","氏名や表示名などを設定する自分の情報．UTokyo Slackでは仕様上，全体で共通となりワークスペースごとに変えられない．","Your own information such as name and display name; in UTokyo Slack it is common across the entire service and cannot differ per workspace.","/slack/details/#profile","src/pages/slack/_profile.md"
"feature","Slack","マルチチャンネルゲスト","Multi-Channel Guest","","複数チャンネルに参加できるゲストの一種．学外者の場合は料金の請求対象となるため，UTokyo Slackでは利用できない．","A type of guest able to join multiple channels; charged a fee for external users, so not available in UTokyo Slack.","/slack/details/#guest","src/pages/slack/details.mdx"
"feature","Slack","マルチワークスペースチャンネル","Multi-workspace channel","","UTokyo Slack内で複数のワークスペースを連携し，ワークスペース間で共有されたチャンネルを作成できる機能．UTokyo Slack内同士でチャンネルを共有する場合に用いる．","A feature that links multiple workspaces within UTokyo Slack and creates channels shared among them; used when sharing channels among workspaces inside UTokyo Slack.","/slack/details/#mwsc","src/pages/slack/details.mdx"
"feature","Slack","メンション機能","mention","","特定の相手を指定して通知できる機能．リアクション機能とともに使うと使いやすく活発になる．","A feature for notifying a specific user; used with reactions it makes communication easier and livelier.","/articles/slack-communication/","src/pages/articles/question-tools/index.md"
"feature","Slack","ユーザーグループ","User groups","","複数のメンバーをまとめて扱えるグループ機能．Enterprise Gridプランで利用できる追加機能の一つ．","A feature to group multiple members together, available as an additional function under the Enterprise Grid plan.","/slack/","src/pages/slack/index.mdx"
"feature","Slack","ワークスペース","Workspace","WS","Slackでコミュニケーションを行う人が集まる単位です．UTokyo Slackでは教職員からの申請により作成できます．","The unit in Slack where people gather to communicate; in UTokyo Slack it can be created upon request by faculty and staff.","/slack/workspace/","src/pages/slack/index.mdx;src/pages/systems/index.md"
"feature","Slack","ワークフロービルダー","Workflow builder","","定型作業を自動化するワークフローを作成できる機能．Enterprise Gridプランで利用できる追加機能の一つ．","A feature for creating workflows to automate routine tasks, available as an additional function under the Enterprise Grid plan.","/slack/","src/pages/slack/index.mdx"
"feature","Slido","Polls","Polls","Poll;ライブ投票;Live Poll","Slidoのライブ投票・アンケート機能．Listタブの実行/停止ボタンで操作し，結果はLiveタブで確認できる．","Slido's live polling feature; run and stop it from the List tab and view results on the Live tab.","/webex/do_webex_host/","src/pages/webex/do_webex_host.md"
"feature","Slido","Q&A","Q&A","","Slidoの機能の一つで，参加者から質問を募集し，いいねで優先度を可視化しながら回答できる．","A Slido feature for collecting questions from participants and answering them while prioritizing by ""Likes.""","/slido/","src/pages/articles/question-tools/index.md"
"feature","Slido","Q&A機能","Q&A Feature","Q&A","学生が自由に質問・感想を送れる機能．匿名投稿や「いいね」，返信などに対応する．","A feature that lets students freely send questions and comments, supporting anonymous posting, 'likes', and replies.","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx"
"feature","Slido","アンケート","Survey","","複数の質問を1つのセットとしてまとめて回答してもらう投票．単発質問6種類とは異なる形式．","A poll type combining multiple questions into one set for participants to answer collectively.","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx"
"feature","Slido","いいね","Like","","他の人が送信した質問・感想に付けられる評価．関心があることを示せ，投稿はいいね数の順に表示される．","An upvote given to others' questions/comments to show interest; posts are ordered by number of likes.","/slido/how_to_use_audience/","src/pages/slido/how_to_use_audience.md"
"feature","Slido","エクスポート","Export","","質問のデータなどをエクスポート（ダウンロード）できる機能（有料機能）．","A feature to export (download) question data (paid feature).","/slido/","src/pages/slido/index.md"
"feature","Slido","モデレーション","Moderation","","投稿された質問を主催者が承認するまで他の受講者に表示しないようにする機能．不適切な投稿を防ぐのに有効（有料機能）．","A feature keeping submitted questions hidden until the host approves them, useful for preventing inappropriate posts (paid feature).","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx"
"feature","Slido","ラベル","Labels","タグ;付箋","質問・感想を分類・管理するためのタグ機能．「あとで」「重要」などのラベルを作成して貼れ，主催者がつけたことは参加者にはわからない．","A tag feature to categorize and manage questions/comments; hosts can create labels like 'Later' or 'Important', invisible to participants.","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx"
"feature","Slido","質問AI","Question AI","","入力した質問文をAIが書き換える機能．「改善する」「短縮する」「プロフェッショナル」「カジュアル」「楽しい」の項目がある．","A feature that rewrites your entered question text via AI, with options Improve, Shorten, Professional, Casual, and Joyful.","/slido/how_to_use_audience/","src/pages/slido/how_to_use_audience.md"
"feature","Slido","投票機能","Vote Function","ライブ投票;投票","教員から学生に質問やクイズを行える機能．多肢選択やワードクラウドなど6種類の単発質問とアンケートがある．","A feature for teachers to pose questions/quizzes to students, offering six single-question types and a survey.","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx;src/pages/articles/question-tools/index.md"
"feature","Slido","反対票","Downvotes","","学生が質問に対して「反対（低評価）」の意思表示を行える機能．設定でオンにできる（「いいね」は常時有効）．","A setting allowing students to downvote questions to express disagreement (the Like/upvote is always enabled).","/slido/how_to_use_host/","src/pages/slido/how_to_use_host.mdx"
"feature","Slido","複数の会議室","Multiple rooms","","1つのイベントの中で複数のグループを作成できる設定．","A setting allowing multiple groups to be created within a single event.","/slido/change_event_settings/","src/pages/slido/change_event_settings.mdx"
"feature","UTAS","シラバス","syllabus","","UTASで学生が閲覧し，教員が登録する授業計画情報．","Course plan information browsed by students and registered by faculty in UTAS.","/utas/","src/pages/utas.mdx"
"feature","UTAS","シラバス登録","","","教員がUTASでシラバスを登録する機能．","","/utas/","src/pages/utas.mdx"
"feature","UTAS","成績確認","checking grades","","学生がUTASで自身の成績を確認する機能．","The function for students to check their grades in UTAS.","/utas/","src/pages/utas.mdx"
"feature","UTAS","成績登録","","","教員がUTASで学生の成績を登録する機能．","","/utas/","src/pages/utas.mdx"
"feature","UTAS","履修者名簿確認","","","教員がUTASで担当授業の履修者名簿を確認する機能．","","/utas/","src/pages/utas.mdx"
"feature","UTAS","履修登録","course registration","","学生がUTASで受講する授業を登録する手続き．","The procedure by which students register the courses they take in UTAS.","/utas/","src/pages/utas.mdx"
"feature","UTokyo Account","FIDOセキュリティキー","FIDO security key","セキュリティキー","FIDO認証に用いる専用の機器．多要素認証の2個目以降の本人確認方法として登録でき，既定のサインイン方法には設定できない．","A dedicated device for FIDO authentication, registrable as a second or later MFA verification method but not as the default sign-in method.","/utokyo_account/mfa/fido-security_key/","src/pages/utokyo_account/mfa/fido-security_key/index.mdx"
"feature","UTOL","LINE通知機能","LINE Notification Function","","UTOLの通知をLINEアプリで受け取る機能．利用に伴い通知内容や利用状況がLINEヤフー株式会社に取得・利用される可能性がある．","A feature for receiving UTOL notifications via the LINE app; using it may allow LY Corporation to acquire and use notification content and usage status.","/utol/notification/line-caution/","src/pages/utol/notification/line-caution/index.md"
"feature","UTOL","LTI連携機能","LTI integration","LTI","外部の学習ツールをUTOLと連携させる仕組み．Zoomミーティングへの参加やクラウド記録の閲覧などに使われる．","A mechanism to integrate external learning tools with UTOL, used e.g. for joining Zoom meetings and viewing cloud recordings.","/utol/students/integrations/zoom/","src/pages/utol/students/integrations/zoom/index.mdx"
"feature","UTOL","アンケート","Survey","アンケート機能","履修者に記名式または無記名式のアンケートを実施し，集計結果を閲覧できる機能．","An item created by the instructor for students to answer; aggregated results may be viewable.","/utol/students/","src/pages/utol/students/index.mdx;src/pages/utol/lecturers/surveys/index.mdx"
"feature","UTOL","オンライン授業情報","Online Class Info","","受講中コースの「オンライン授業情報」欄をまとめて表示する機能．","A function that gathers the Online course information sections of the courses you are taking.","/utol/students/","src/pages/utol/students/index.mdx"
"feature","UTOL","お知らせ","Notifications","お知らせ機能","履修者の全員または一部に連絡事項を一方向に伝える機能．登録時にメール・LINEで通知を送ることもできる．","A function for sending one-way announcements to all or some enrolled students, optionally notifying them by email or LINE.","/utol/students/","src/pages/utol/students/index.mdx;src/pages/utol/lecturers/information/index.mdx"
"feature","UTOL","お知らせ・メッセージ通知","Information/Message Notifications","","コースから送られたお知らせ・メッセージの内容を通知する機能．メール・LINEでのみ受け取れ（Slackは不可），送信先のみ設定できる．","A notification that delivers the content of information and messages sent from courses. Available via email and LINE only (not Slack); only the destination is configurable.","/utol/notification/","src/pages/utol/notification/index.mdx"
"feature","UTOL","コースグループ","Course group","","複数のコースを一つの代表コースに紐付けてまとめて管理する機能．合併科目などで複数コースが作成された場合に使う．","A function to manage multiple courses together by linking them to a single primary course, used e.g. for combined courses.","/utol/lecturers/settings/course_group/","src/pages/utol/lecturers/settings/course_group/index.md"
"feature","UTOL","コーストップ","Course Top","コーストップ画面","各コースの詳細画面．メッセージ・お知らせ・課題・教材・テストなど，コースの各機能をここから利用する．","The detail screen for each course, from which functions such as messages, notices, assignments, materials, and quizzes are accessed.","/utol/lecturers/","src/pages/utol/lecturers/index.mdx"
"feature","UTOL","コース検索","Search Course","コンテンツ検索","UTOL上のコースをコース名や曜限，開講組織などの条件で絞り込んで検索する機能．2019年度以降の過去コースも検索できる．","A function to search courses on UTOL by conditions such as title, day/period, and department, including past courses from AY 2019 onward.","/utol/students/course_search/","src/pages/utol/students/course_search/index.mdx"
"feature","UTOL","コース参加者登録","Course Participant Registration","","担当教員・TA・コース設計者・履修者といったコース参加者の一覧確認・登録・削除を行う機能．","A function to view, register, and delete course participants such as instructors, TAs, course designers, and students.","/utol/lecturers/settings/course_participants/","src/pages/utol/lecturers/settings/course_participants/index.md"
"feature","UTOL","コンテンツ検索","Search Contents","","受講しているコースの教材・課題・テスト・アンケートを検索できる機能．","A function to search course materials, assignments, quizzes, and surveys across your courses.","/utol/students/","src/pages/utol/students/index.mdx"
"feature","UTOL","コンテンツ等の再利用","Content Reuse","コンテンツ再利用;過去のコンテンツをインポート","過去に自分が担当した授業や他の教員の授業から，お知らせ・課題等のコンテンツをコピーできる機能．","A function to copy content such as notices and assignments from courses you previously taught or courses taught by others.","/utol/lecturers/settings/","src/pages/utol/lecturers/settings/index.mdx"
"feature","UTOL","テスト","Quiz","テスト機能","紙のテストのように履修者へ問題を出題し，採点・成績評価ができる機能．単一選択・複数選択・フリーテキスト・穴埋めの4形式を組み合わせられる．","A function to give students test questions like a paper test and score/grade them, combining single-choice, multiple-choice, free-text, and fill-in-the-blank formats.","/utol/students/","src/pages/utol/students/index.mdx;src/pages/utol/lecturers/quizzes/index.md"
